image_id,X,Y,W,H
000168.png,0.488892,0.5135,0.69165,0.191
000172.png,0.487183,0.5715,0.717529,0.211
000181.png,0.487427,0.459,0.71167,0.208
000186.png,0.481079,0.0825,0.737549,0.165
000190.png,0.486816,0.593,0.708496,0.19
000195.png,0.482056,0.0815,0.734619,0.163
000198.png,0.484253,0.905,0.702881,0.182
000199.png,0.484619,0.481,0.715332,0.194
000203.png,0.484863,0.8915,0.713867,0.199
000208.png,0.48645,0.5995,0.706787,0.189
000213.png,0.485474,0.1495,0.706299,0.201
000217.png,0.483276,0.623,0.689697,0.196
000221.png,0.487549,0.657,0.68457,0.184
000222.png,0.483398,0.1305,0.70752,0.201
000226.png,0.487305,0.683,0.710449,0.206
000230.png,0.482666,0.9135,0.704102,0.173
000231.png,0.481934,0.1495,0.699707,0.229
000234.png,0.485352,0.322,0.705566,0.19
000235.png,0.487915,0.6765,0.703369,0.201
000239.png,0.486938,0.583,0.710693,0.21
000240.png,0.482666,0.2285,0.718262,0.203
000244.png,0.484131,0.85,0.716797,0.196
000247.png,0.47998,0.268,0.697754,0.184
000249.png,0.48584,0.46,0.716309,0.204
000253.png,0.485718,0.903,0.707275,0.188
000258.png,0.481812,0.091,0.715088,0.182
000258.png,0.485596,0.4515,0.708008,0.197
000260.png,0.483276,0.7615,0.692139,0.193
000262.png,0.484619,0.906,0.709473,0.188
000263.png,0.487915,0.112,0.716553,0.204
000267.png,0.486206,0.7585,0.696045,0.199
000270.png,0.480835,0.143,0.694092,0.182
000272.png,0.488159,0.3685,0.69458,0.195
000276.png,0.483521,0.86,0.696045,0.208
000280.png,0.480713,0.0925,0.729492,0.185
000281.png,0.488647,0.4805,0.699463,0.211
000289.png,0.488037,0.471,0.711426,0.208
000290.png,0.485596,0.6305,0.682617,0.193
000295.png,0.485596,0.2395,0.686523,0.193
000297.png,0.480713,0.4975,0.696777,0.181
000299.png,0.486328,0.7505,0.688965,0.205
000300.png,0.482422,0.4635,0.70752,0.191
000302.png,0.482056,0.4485,0.704346,0.189
000304.png,0.48584,0.297,0.700195,0.19
000308.png,0.485718,0.385,0.692627,0.188
000308.png,0.481567,0.857,0.7146,0.196
000311.png,0.480347,0.2065,0.716553,0.193
000312.png,0.484619,0.89,0.706543,0.198
000313.png,0.488281,0.4245,0.706055,0.205
000317.png,0.48645,0.449,0.692627,0.19
000317.png,0.484741,0.91,0.710205,0.18
000318.png,0.482544,0.08,0.725342,0.16
000321.png,0.480835,0.266,0.686279,0.194
000322.png,0.487671,0.565,0.704834,0.2
000323.png,0.482788,0.893,0.712158,0.188
000324.png,0.48291,0.471,0.712891,0.186
000326.png,0.479614,0.913,0.703857,0.174
000327.png,0.481689,0.094,0.720703,0.188
000330.png,0.483032,0.855,0.708252,0.206
000331.png,0.487793,0.6475,0.708496,0.205
000335.png,0.480103,0.093,0.708252,0.186
000336.png,0.490479,0.281,0.705078,0.196
000340.png,0.48938,0.8235,0.710693,0.195
000345.png,0.48938,0.407,0.708252,0.224
000349.png,0.48938,0.5735,0.690186,0.193
000349.png,0.488037,0.91,0.705078,0.18
000354.png,0.489624,0.569,0.712646,0.2
000359.png,0.487549,0.1645,0.714844,0.217
000363.png,0.486084,0.766,0.702148,0.206
000364.png,0.487427,0.544,0.691162,0.202
000367.png,0.485596,0.885,0.700684,0.194
000368.png,0.486328,0.386,0.708496,0.198
000372.png,0.486816,0.9045,0.706543,0.183
000377.png,0.487183,0.428,0.707764,0.206
000381.png,0.488647,0.285,0.698486,0.194
000382.png,0.480469,0.082,0.728027,0.164
000386.png,0.487915,0.595,0.706787,0.192
000391.png,0.484741,0.145,0.709229,0.198
000395.png,0.487061,0.6755,0.700195,0.195
000400.png,0.484497,0.271,0.711182,0.202
000401.png,0.482544,0.449,0.706299,0.212
000403.png,0.489258,0.676,0.691406,0.208
000404.png,0.487427,0.128,0.697021,0.192
000404.png,0.486572,0.829,0.711914,0.202
000408.png,0.483154,0.9095,0.714844,0.181
000409.png,0.485229,0.9115,0.689209,0.177
000409.png,0.486816,0.3695,0.693359,0.209
000413.png,0.482666,0.904,0.713379,0.19
000417.png,0.487427,0.429,0.719971,0.236
000418.png,0.488892,0.48,0.703369,0.198
000423.png,0.483154,0.166,0.716797,0.208
000427.png,0.48584,0.7065,0.705566,0.195
000429.png,0.482056,0.7215,0.716064,0.189
000432.png,0.488159,0.378,0.696533,0.2
000438.png,0.482056,0.7135,0.69751,0.185
000441.png,0.486572,0.494,0.682129,0.194
000446.png,0.486572,0.1555,0.708496,0.201
000450.png,0.487061,0.7085,0.702637,0.199
000453.png,0.481323,0.6575,0.695068,0.173
000455.png,0.482788,0.166,0.702881,0.202
000459.png,0.486084,0.73,0.720703,0.202
000464.png,0.484009,0.3165,0.703369,0.201
000468.png,0.48291,0.8415,0.708008,0.203
000473.png,0.483276,0.453,0.71167,0.198
000474.png,0.4823,0.3875,0.702393,0.195
000478.png,0.487061,0.145,0.706543,0.194
000482.png,0.485474,0.6705,0.69458,0.189
000487.png,0.487427,0.2435,0.69458,0.197
000491.png,0.488403,0.8175,0.709717,0.211
000496.png,0.487915,0.397,0.697021,0.194
000498.png,0.482788,0.241,0.689697,0.18
000500.png,0.483521,0.9155,0.706299,0.169
000505.png,0.4823,0.462,0.716064,0.202
000509.png,0.486084,0.678,0.692871,0.186
000510.png,0.47998,0.0835,0.734375,0.167
000511.png,0.481201,0.9035,0.705078,0.183
000514.png,0.489624,0.2935,0.693604,0.179
000514.png,0.486938,0.6,0.710693,0.182
000516.png,0.477661,0.649,0.693115,0.182
000518.png,0.481445,0.902,0.695312,0.18
000519.png,0.486816,0.1065,0.720703,0.201
000523.png,0.488403,0.685,0.709229,0.198
000528.png,0.481689,0.2255,0.716309,0.203
000532.png,0.487915,0.8285,0.710693,0.203
000537.png,0.48584,0.3815,0.702148,0.195
000541.png,0.484985,0.894,0.699951,0.19
000544.png,0.477539,0.5305,0.703125,0.177
000546.png,0.48938,0.566,0.69458,0.182
000551.png,0.479492,0.095,0.715332,0.19
000555.png,0.490479,0.659,0.697754,0.186
000560.png,0.486084,0.188,0.719238,0.212
000564.png,0.485352,0.727,0.696289,0.204
000566.png,0.483276,0.5095,0.7146,0.185
000569.png,0.487061,0.383,0.69873,0.202
000572.png,0.484131,0.4265,0.698242,0.183
000573.png,0.486328,0.9135,0.705566,0.173
000578.png,0.485718,0.387,0.708252,0.196
000580.png,0.480957,0.7575,0.706055,0.189
000582.png,0.482666,0.9055,0.714355,0.189
000583.png,0.481323,0.0835,0.729736,0.167
000587.png,0.48584,0.7185,0.710449,0.199
000588.png,0.486694,0.55,0.695068,0.196
000591.png,0.481445,0.8975,0.72168,0.191
000592.png,0.484253,0.3055,0.708252,0.201
000596.png,0.480835,0.086,0.72876,0.172
000596.png,0.485352,0.9165,0.706543,0.167
000597.png,0.484497,0.5325,0.69751,0.193
000600.png,0.489258,0.8275,0.704102,0.205
000601.png,0.487793,0.5035,0.699707,0.203
000602.png,0.484985,0.4605,0.698975,0.197
000603.png,0.481934,0.686,0.705566,0.182
000604.png,0.477905,0.1585,0.709717,0.181
000606.png,0.484497,0.148,0.705322,0.212
000609.png,0.483398,0.826,0.699219,0.234
000610.png,0.483765,0.7475,0.686768,0.199
000614.png,0.483276,0.19,0.703857,0.214
000614.png,0.486084,0.546,0.712402,0.206
000615.png,0.48291,0.345,0.711426,0.194
000618.png,0.482178,0.1195,0.692383,0.193
000619.png,0.484375,0.8595,0.696777,0.187
000621.png,0.481079,0.6815,0.710693,0.183
000623.png,0.479858,0.91,0.710205,0.18
000624.png,0.488892,0.425,0.702393,0.194
000628.png,0.483154,0.7945,0.70166,0.213
000630.png,0.481567,0.51,0.700439,0.188
000631.png,0.484375,0.5235,0.700684,0.179
000633.png,0.486572,0.493,0.695801,0.202
000637.png,0.485352,0.903,0.709961,0.186
000638.png,0.481689,0.0865,0.727051,0.173
000641.png,0.484009,0.114,0.693604,0.208
000642.png,0.488037,0.6125,0.705566,0.203
000647.png,0.484253,0.1625,0.712158,0.211
000648.png,0.485596,0.362,0.69043,0.194
000651.png,0.486816,0.717,0.703613,0.192
000654.png,0.482544,0.678,0.69751,0.184
000655.png,0.485352,0.901,0.697266,0.182
000656.png,0.488159,0.2925,0.690674,0.195
000657.png,0.486084,0.8885,0.70752,0.191
000658.png,0.481201,0.447,0.698242,0.18
000659.png,0.481689,0.8965,0.706055,0.189
000660.png,0.48584,0.903,0.706055,0.184
000662.png,0.479492,0.0875,0.724121,0.175
000665.png,0.488037,0.512,0.704102,0.206
000668.png,0.480225,0.2915,0.707031,0.175
000669.png,0.481445,0.087,0.710449,0.174
000670.png,0.486694,0.1255,0.699951,0.197
000671.png,0.482666,0.111,0.696777,0.2
000674.png,0.485718,0.7015,0.709229,0.205
000676.png,0.483887,0.5175,0.683594,0.185
000678.png,0.488281,0.561,0.693359,0.198
000679.png,0.481689,0.2465,0.691406,0.199
000683.png,0.487305,0.8355,0.693848,0.203
000688.png,0.486328,0.4015,0.703125,0.195
000696.png,0.484497,0.5925,0.717041,0.205
000697.png,0.489624,0.532,0.700439,0.188
000702.png,0.48584,0.118,0.708984,0.204
000706.png,0.488159,0.658,0.699463,0.192
000711.png,0.48584,0.138,0.705566,0.198
000712.png,0.481567,0.884,0.703369,0.19
000714.png,0.482788,0.094,0.715576,0.186
000715.png,0.490112,0.404,0.699951,0.186
000715.png,0.488403,0.7595,0.697021,0.201
000717.png,0.482666,0.3825,0.705566,0.183
000720.png,0.484497,0.2375,0.680908,0.195
000724.png,0.487793,0.6725,0.702148,0.195
000725.png,0.483154,0.32,0.708984,0.184
000728.png,0.485352,0.915,0.696777,0.17
000729.png,0.485596,0.25,0.688965,0.192
000733.png,0.486328,0.756,0.699219,0.196
000737.png,0.484863,0.59,0.719238,0.192
000738.png,0.486328,0.218,0.703613,0.208
000742.png,0.486572,0.707,0.705566,0.19
000747.png,0.488525,0.3225,0.702637,0.193
000748.png,0.483032,0.88,0.701416,0.192
000751.png,0.484497,0.896,0.709229,0.19
000756.png,0.487305,0.395,0.705078,0.198
000760.png,0.482422,0.852,0.71582,0.186
000765.png,0.488159,0.439,0.703857,0.192
000774.png,0.482544,0.5655,0.705811,0.193
000779.png,0.485596,0.888,0.708496,0.198
000779.png,0.484253,0.144,0.706299,0.224
000780.png,0.481323,0.389,0.719971,0.192
000782.png,0.478394,0.0905,0.727783,0.181
000783.png,0.487671,0.702,0.700928,0.196
000785.png,0.481079,0.132,0.701416,0.188
000785.png,0.484131,0.6645,0.70166,0.187
000786.png,0.484375,0.6245,0.683105,0.185
000787.png,0.484497,0.9095,0.710205,0.181
000788.png,0.485962,0.131,0.702881,0.214
000789.png,0.481079,0.0875,0.718506,0.175
000792.png,0.484863,0.7235,0.685547,0.187
000796.png,0.480713,0.573,0.720703,0.21
000797.png,0.485962,0.2495,0.689697,0.195
000801.png,0.48291,0.7755,0.697266,0.195
000806.png,0.485962,0.2895,0.696045,0.189
000810.png,0.481079,0.862,0.718506,0.19
000811.png,0.483765,0.3245,0.695557,0.189
000815.png,0.48645,0.385,0.704346,0.194
000819.png,0.480469,0.863,0.734863,0.198
000821.png,0.483032,0.725,0.711182,0.182
000824.png,0.485718,0.449,0.706787,0.192
000827.png,0.480835,0.3905,0.691162,0.183
000828.png,0.484009,0.9055,0.700928,0.181
000832.png,0.483887,0.415,0.693848,0.194
000833.png,0.487915,0.372,0.69458,0.204
000837.png,0.484741,0.853,0.718018,0.19
000842.png,0.48999,0.364,0.702637,0.202
000846.png,0.484131,0.9005,0.710938,0.191
000847.png,0.48645,0.635,0.716553,0.194
000850.png,0.486328,0.4705,0.696289,0.207
000851.png,0.485718,0.4985,0.695557,0.193
000859.png,0.483887,0.3965,0.697754,0.191
000860.png,0.485962,0.4445,0.709229,0.197
000864.png,0.480225,0.4755,0.699219,0.197
000865.png,0.481689,0.083,0.724609,0.166
000869.png,0.487549,0.5085,0.701172,0.191
000873.png,0.491089,0.66,0.69165,0.182
000874.png,0.489502,0.4,0.702148,0.186
000878.png,0.502197,0.5935,0.714355,0.193
000883.png,0.4823,0.092,0.722412,0.184
000887.png,0.488525,0.2755,0.687988,0.179
000887.png,0.486938,0.595,0.71167,0.192
000890.png,0.4823,0.668,0.699951,0.176
000892.png,0.483398,0.12,0.689453,0.204
000895.png,0.485229,0.363,0.704346,0.194
000896.png,0.487183,0.59,0.715576,0.198
000901.png,0.487061,0.1485,0.712891,0.199
000904.png,0.486084,0.172,0.695312,0.198
000905.png,0.501221,0.6905,0.710938,0.203
000910.png,0.490112,0.2925,0.715088,0.227
000911.png,0.484497,0.8645,0.705322,0.189
000914.png,0.491577,0.5375,0.696045,0.183
000914.png,0.486694,0.907,0.713623,0.186
000916.png,0.4823,0.6915,0.688232,0.175
000919.png,0.484497,0.463,0.716064,0.202
000923.png,0.485962,0.909,0.698486,0.178
000924.png,0.492188,0.082,0.737305,0.164
000928.png,0.486206,0.6115,0.694092,0.189
000933.png,0.483398,0.146,0.714355,0.214
000937.png,0.491211,0.2805,0.69043,0.183
000937.png,0.489746,0.6845,0.705078,0.199
000938.png,0.486328,0.5985,0.687988,0.195
000941.png,0.483154,0.8445,0.703125,0.197
000942.png,0.483398,0.246,0.691895,0.2
000945.png,0.482666,0.2605,0.694824,0.181
000946.png,0.485474,0.856,0.715576,0.184
000951.png,0.489136,0.4305,0.702881,0.191
000955.png,0.485229,0.605,0.700439,0.186
000960.png,0.484009,0.5745,0.701416,0.191
000965.png,0.486694,0.2075,0.702881,0.205
000969.png,0.486572,0.777,0.699707,0.224
000974.png,0.491821,0.3295,0.717041,0.203
000983.png,0.484497,0.5705,0.701904,0.195
000986.png,0.481079,0.507,0.698486,0.18
000987.png,0.481689,0.082,0.731445,0.164
000987.png,0.484619,0.91,0.70459,0.178
000987.png,0.487427,0.408,0.705322,0.202
000988.png,0.485352,0.1085,0.704102,0.199
000990.png,0.47998,0.314,0.704102,0.172
000991.png,0.48877,0.3995,0.699707,0.193
000992.png,0.490356,0.712,0.698975,0.194
000997.png,0.486694,0.26,0.71167,0.202
001000.png,0.479248,0.195,0.724121,0.19
001001.png,0.484497,0.799,0.710693,0.212
001005.png,0.484009,0.902,0.700928,0.184
001006.png,0.488525,0.405,0.710938,0.204
001009.png,0.485962,0.911,0.703369,0.174
001010.png,0.482666,0.919,0.699707,0.162
001014.png,0.485596,0.297,0.70752,0.184
001015.png,0.487427,0.5245,0.699463,0.187
001019.png,0.488159,0.655,0.689209,0.192
001020.png,0.480225,0.0935,0.725098,0.187
001024.png,0.489258,0.682,0.705566,0.194
001027.png,0.479004,0.154,0.703613,0.182
001029.png,0.487183,0.248,0.702881,0.196
001030.png,0.483276,0.9025,0.701904,0.183
001033.png,0.491089,0.7945,0.713135,0.207
001038.png,0.487183,0.3495,0.710693,0.187
001040.png,0.483887,0.3165,0.702637,0.189
001041.png,0.487793,0.534,0.717285,0.19
001042.png,0.488525,0.416,0.705078,0.19
001045.png,0.483398,0.41,0.681152,0.172
001051.png,0.485718,0.6035,0.710693,0.189
001055.png,0.488037,0.452,0.69873,0.188
001055.png,0.488403,0.7725,0.702393,0.193
001056.png,0.487427,0.242,0.701416,0.194
001060.png,0.485107,0.7885,0.694336,0.189
001065.png,0.485596,0.365,0.696777,0.192
001068.png,0.481567,0.7295,0.712158,0.189
001069.png,0.483276,0.9105,0.703369,0.179
001073.png,0.486938,0.4545,0.712646,0.193
001074.png,0.485474,0.471,0.704834,0.182
001077.png,0.482788,0.454,0.702393,0.186
001079.png,0.481934,0.0885,0.730957,0.177
001082.png,0.487549,0.305,0.696777,0.184
001083.png,0.490112,0.669,0.707275,0.192
001085.png,0.484863,0.4115,0.692871,0.171
001087.png,0.485107,0.4635,0.705566,0.203
001088.png,0.487549,0.2645,0.70459,0.191
001091.png,0.481812,0.1325,0.7146,0.181
001092.png,0.487671,0.7745,0.700928,0.205
001097.png,0.487549,0.365,0.688965,0.198
001098.png,0.483643,0.4415,0.708496,0.185
