images id,defect_flag
000447.png,0
000448.png,0
000449.png,0
000450.png,0
000451.png,0
000452.png,0
000453.png,0
000454.png,0
000455.png,1
000456.png,1
000457.png,0
000458.png,0
000459.png,1
000460.png,0
000461.png,1
000462.png,0
000463.png,0
000464.png,1
000465.png,0
000466.png,0
000467.png,0
000468.png,1
000469.png,0
000470.png,0
000471.png,0
000472.png,0
000473.png,1
000474.png,0
000475.png,0
000476.png,0
000477.png,0
000478.png,1
000479.png,0
000480.png,1
000481.png,0
000482.png,1
000483.png,0
000484.png,0
000485.png,1
000486.png,0
000487.png,1
000488.png,0
000489.png,0
000490.png,1
000491.png,1
000492.png,0
000493.png,0
000494.png,0
000495.png,1
000496.png,1
000497.png,0
000498.png,0
000499.png,0
000500.png,1
000501.png,0
000502.png,0
000503.png,0
000504.png,0
000505.png,1
000506.png,0
000507.png,0
000508.png,0
000509.png,0
000510.png,1
000511.png,0
000512.png,0
000513.png,0
000514.png,1
000515.png,0
000516.png,0
000517.png,0
000518.png,0
000519.png,1
000520.png,0
000521.png,0
000522.png,0
000523.png,1
000524.png,1
000525.png,0
000526.png,0
000527.png,0
000528.png,0
000529.png,1
000530.png,0
000531.png,0
000532.png,1
000533.png,1
000534.png,0
000535.png,0
000536.png,0
000537.png,1
000538.png,0
000539.png,1
000540.png,0
000541.png,1
000542.png,0
000543.png,0
000544.png,0
000545.png,0
000546.png,0
000547.png,0
000548.png,0
000549.png,0
000550.png,0
000551.png,1
000552.png,0
000553.png,0
000554.png,0
000555.png,1
000556.png,0
000557.png,0
000558.png,0
000559.png,0
000560.png,1
000561.png,0
000562.png,0
000563.png,1
000564.png,1
000565.png,0
000566.png,0
000567.png,0
000568.png,1
000569.png,1
000570.png,0
000571.png,0
000572.png,0
000573.png,0
000574.png,0
000575.png,0
000576.png,0
000577.png,0
000578.png,1
000579.png,0
000580.png,0
000581.png,0
000582.png,0
000583.png,1
000584.png,0
000585.png,0
000586.png,0
000587.png,1
000588.png,0
000589.png,0
000590.png,0
000591.png,0
000592.png,1
000593.png,0
000594.png,0
000595.png,0
000596.png,1
000597.png,1
000598.png,0
000599.png,0
000600.png,0
000601.png,0
000602.png,1
000603.png,0
000604.png,0
000605.png,0
000606.png,1
000607.png,1
000608.png,0
000609.png,0
000610.png,0
000611.png,0
000612.png,1
000613.png,0
000614.png,0
000615.png,1
000616.png,0
000617.png,0
000618.png,0
000619.png,0
000620.png,0
000621.png,1
000622.png,0
000623.png,0
000624.png,0
000625.png,0
000626.png,0
000627.png,0
000628.png,0
000629.png,0
000630.png,0
000631.png,0
000632.png,0
000633.png,1
000634.png,0
000635.png,0
000636.png,1
000637.png,0
000638.png,1
000639.png,0
000640.png,0
000641.png,1
000642.png,1
000643.png,0
000644.png,0
000645.png,0
000646.png,0
000647.png,0
000648.png,0
000649.png,0
000650.png,0
000651.png,0
000652.png,0
000653.png,0
000654.png,0
000655.png,0
000656.png,0
000657.png,0
000658.png,0
000659.png,0
000660.png,1
000661.png,0
000662.png,0
000663.png,0
000664.png,0
000665.png,1
000666.png,0
000667.png,0
000668.png,0
000669.png,0
000670.png,1
000671.png,0
000672.png,0
000673.png,0
000674.png,0
000675.png,1
000676.png,0
000677.png,0
000678.png,0
000679.png,0
000680.png,0
000681.png,0
000682.png,0
000683.png,0
000684.png,0
000685.png,1
000686.png,0
000687.png,0
000688.png,0
000689.png,0
000690.png,0
000691.png,0
000692.png,1
000693.png,0
000694.png,1
000695.png,0
000696.png,0
000697.png,1
000698.png,0
000699.png,1
000700.png,0
000701.png,0
000702.png,0
000703.png,0
000704.png,1
000705.png,0
000706.png,1
000707.png,0
000708.png,0
000709.png,0
000710.png,0
000711.png,1
000712.png,0
000713.png,0
000714.png,0
000715.png,0
000716.png,0
000717.png,0
000718.png,1
000719.png,0
000720.png,1
000721.png,0
000722.png,0
000723.png,1
000724.png,1
000725.png,0
000726.png,0
000727.png,0
000728.png,1
000729.png,1
000730.png,0
000731.png,0
000732.png,0
000733.png,1
000734.png,0
000735.png,0
000736.png,0
000737.png,0
000738.png,1
000739.png,0
000740.png,0
000741.png,0
000742.png,0
000743.png,0
000744.png,0
000745.png,0
000746.png,0
000747.png,1
000748.png,0
000749.png,0
000750.png,0
000751.png,0
000752.png,0
000753.png,0
000754.png,0
000755.png,0
000756.png,1
000757.png,1
000758.png,0
000759.png,0
000760.png,1
000761.png,0
000762.png,1
000763.png,0
000764.png,0
000765.png,0
000766.png,0
000767.png,1
000768.png,0
000769.png,0
000770.png,0
000771.png,0
000772.png,0
000773.png,0
000774.png,1
000775.png,0
000776.png,1
000777.png,0
000778.png,0
000779.png,0
000780.png,0
000781.png,1
000782.png,0
000783.png,1
000784.png,0
000785.png,0
000786.png,0
000787.png,0
000788.png,0
000789.png,0
000790.png,0
000791.png,1
000792.png,0
000793.png,0
000794.png,0
000795.png,0
000796.png,1
000797.png,0
000798.png,0
000799.png,0
000800.png,0
000801.png,0
000802.png,0
000803.png,0
000804.png,0
000805.png,0
000806.png,1
000807.png,0
000808.png,0
000809.png,0
000810.png,1
000811.png,0
000812.png,0
000813.png,0
000814.png,0
000815.png,1
000816.png,0
000817.png,0
000818.png,0
000819.png,1
000820.png,1
000821.png,0
000822.png,0
000823.png,0
000824.png,1
000825.png,0
000826.png,0
000827.png,0
000828.png,0
000829.png,0
000830.png,0
000831.png,0
000832.png,0
000833.png,0
000834.png,0
000835.png,1
000836.png,0
000837.png,1
000838.png,0
000839.png,0
000840.png,1
000841.png,0
000842.png,1
000843.png,0
000844.png,0
000845.png,1
000846.png,1
000847.png,0
000848.png,0
000849.png,1
000850.png,1
000851.png,0
000852.png,0
000853.png,0
000854.png,1
000855.png,0
000856.png,1
000857.png,0
000858.png,0
000859.png,0
000860.png,1
000861.png,0
000862.png,0
000863.png,0
000864.png,0
000865.png,0
000866.png,0
000867.png,0
000868.png,0
000869.png,0
000870.png,0
000871.png,0
000872.png,0
000873.png,0
000874.png,1
000875.png,0
000876.png,0
000877.png,0
000878.png,0
000879.png,1
000880.png,0
000881.png,0
000882.png,0
000883.png,1
000884.png,0
000885.png,1
000886.png,0
000887.png,1
000888.png,1
000889.png,0
000890.png,0
000891.png,0
000892.png,1
000893.png,0
000894.png,0
000895.png,0
000896.png,0
000897.png,0
000898.png,1
000899.png,0
000900.png,0
000901.png,0
000902.png,0
000903.png,0
000904.png,0
000905.png,0
000906.png,0
000907.png,0
000908.png,1
000909.png,0
000910.png,0
000911.png,0
000912.png,0
000913.png,0
000914.png,1
000915.png,0
000916.png,0
000917.png,1
000918.png,0
000919.png,0
000920.png,0
000921.png,0
000922.png,0
000923.png,0
000924.png,1
000925.png,0
000926.png,0
000927.png,1
000928.png,0
000929.png,0
000930.png,0
000931.png,0
000932.png,1
000933.png,1
000934.png,0
000935.png,0
000936.png,0
000937.png,1
000938.png,0
000939.png,0
000940.png,0
000941.png,0
000942.png,1
000943.png,0
000944.png,0
000945.png,0
000946.png,1
000947.png,0
000948.png,0
000949.png,0
000950.png,0
000951.png,1
000952.png,0
000953.png,0
000954.png,0
000955.png,0
000956.png,0
000957.png,0
000958.png,0
000959.png,0
000960.png,1
000961.png,1
000962.png,0
000963.png,0
000964.png,0
000965.png,1
000966.png,1
000967.png,0
000968.png,0
000969.png,1
000970.png,0
000971.png,0
000972.png,0
000973.png,0
000974.png,0
000975.png,1
000976.png,0
000977.png,0
000978.png,0
000979.png,0
000980.png,0
000981.png,0
000982.png,0
000983.png,0
000984.png,0
000985.png,0
000986.png,0
000987.png,0
000988.png,1
000989.png,0
000990.png,1
000991.png,0
000992.png,0
000993.png,0
000994.png,0
000995.png,0
000996.png,0
000997.png,0
000998.png,0
000999.png,0
001000.png,0
001001.png,1
001002.png,0
001003.png,0
001004.png,1
001005.png,0
001006.png,1
001007.png,0
001008.png,0
001009.png,0
001010.png,1
001011.png,0
001012.png,0
001013.png,0
001014.png,1
001015.png,0
001016.png,0
001017.png,0
001018.png,0
001019.png,1
001020.png,1
001021.png,0
001022.png,0
001023.png,0
001024.png,1
001025.png,0
001026.png,0
001027.png,0
001028.png,0
001029.png,1
001030.png,0
001031.png,0
001032.png,0
001033.png,0
001034.png,0
001035.png,0
001036.png,0
001037.png,0
001038.png,0
001039.png,0
001040.png,0
001041.png,0
001042.png,1
001043.png,1
001044.png,0
001045.png,0
001046.png,1
001047.png,0
001048.png,1
001049.png,0
001050.png,0
001051.png,1
001052.png,0
001053.png,1
001054.png,0
001055.png,0
001056.png,0
001057.png,0
001058.png,0
001059.png,0
001060.png,0
001061.png,0
001062.png,0
001063.png,1
001064.png,0
001065.png,1
001066.png,0
001067.png,0
001068.png,0
001069.png,1
001070.png,0
001071.png,0
001072.png,0
001073.png,0
001074.png,1
001075.png,0
001076.png,0
001077.png,0
001078.png,0
001079.png,1
001080.png,0
001081.png,0
001082.png,1
001083.png,1
001084.png,0
001085.png,0
001086.png,0
001087.png,1
001088.png,0
001089.png,0
001090.png,0
001091.png,0
001092.png,1
001093.png,0
001094.png,0
001095.png,0
001096.png,0
001097.png,1
001098.png,0
001099.png,0
001100.png,0
001101.png,1
001102.png,0
001103.png,0
001104.png,0
001105.png,0
001106.png,1
001107.png,0
001108.png,0
001109.png,0
001110.png,0
001111.png,1
001112.png,0
001113.png,0
001114.png,0
001115.png,0
001116.png,0
001117.png,0
001118.png,0
001119.png,0
001120.png,1
001121.png,0
001122.png,0
001123.png,0
001124.png,1
001125.png,0
001126.png,0
001127.png,0
001128.png,0
001129.png,0
001130.png,0
001131.png,0
001132.png,0
001133.png,1
001134.png,0
001135.png,0
001136.png,0
001137.png,0
001138.png,0
001139.png,0
001140.png,0
001141.png,0
001142.png,0
001143.png,1
001144.png,0
001145.png,1
001146.png,0
001147.png,1
001148.png,0
001149.png,0
001150.png,1
001151.png,0
001152.png,1
001153.png,0
001154.png,0
001155.png,1
001156.png,0
001157.png,0
001158.png,0
001159.png,0
001160.png,0
001161.png,1
001162.png,0
001163.png,0
001164.png,0
001165.png,0
001166.png,0
001167.png,0
001168.png,0
001169.png,1
001170.png,1
001171.png,0
001172.png,0
001173.png,0
001174.png,0
001175.png,0
001176.png,0
001177.png,0
001178.png,0
001179.png,1
001180.png,0
001181.png,0
001182.png,0
001183.png,0
001184.png,1
001185.png,0
001186.png,0
001187.png,0
001188.png,0
001189.png,1
001190.png,0
001191.png,0
001192.png,0
001193.png,1
001194.png,0
001195.png,0
001196.png,0
001197.png,1
001198.png,1
001199.png,0
001200.png,0
001201.png,0
001202.png,0
001203.png,1
001204.png,0
001205.png,0
001206.png,1
001207.png,0
001208.png,0
001209.png,0
001210.png,0
001211.png,1
001212.png,0
001213.png,0
001214.png,0
001215.png,0
001216.png,0
001217.png,0
001218.png,1
001219.png,0
001220.png,0
001221.png,0
001222.png,1
001223.png,0
001224.png,1
001225.png,0
001226.png,0
001227.png,0
001228.png,0
001229.png,1
001230.png,0
001231.png,0
001232.png,1
001233.png,0
001234.png,0
001235.png,0
001236.png,0
001237.png,1
001238.png,1
001239.png,0
001240.png,0
001241.png,0
001242.png,0
001243.png,0
001244.png,0
001245.png,0
001246.png,0
001247.png,1
001248.png,0
001249.png,0
001250.png,0
001251.png,0
001252.png,1
001253.png,0
001254.png,0
001255.png,0
001256.png,0
001257.png,0
001258.png,0
001259.png,0
001260.png,0
001261.png,0
001262.png,0
001263.png,0
001264.png,0
001265.png,1
001266.png,1
001267.png,0
001268.png,0
001269.png,0
001270.png,0
001271.png,0
001272.png,0
001273.png,0
001274.png,0
001275.png,0
001276.png,0
001277.png,0
001278.png,0
001279.png,0
001280.png,0
001281.png,0
001282.png,0
001283.png,1
001284.png,0
001285.png,1
001286.png,0
001287.png,0
001288.png,0
001289.png,0
001290.png,0
001291.png,0
001292.png,0
001293.png,0
001294.png,0
001295.png,0
001296.png,0
001297.png,1
001298.png,0
001299.png,0
001300.png,1
001301.png,1
001302.png,0
001303.png,0
001304.png,0
001305.png,1
001306.png,1
001307.png,0
001308.png,0
001309.png,0
001310.png,1
001311.png,0
001312.png,0
001313.png,0
001314.png,0
001315.png,1
001316.png,0
001317.png,0
001318.png,0
001319.png,0
001320.png,1
001321.png,0
001322.png,0
001323.png,0
001324.png,1
001325.png,0
001326.png,0
001327.png,0
001328.png,0
001329.png,1
001330.png,0
001331.png,0
001332.png,0
001333.png,1
001334.png,1
001335.png,0
001336.png,0
001337.png,0
001338.png,0
001339.png,1
001340.png,0
001341.png,0
001342.png,0
001343.png,1
001344.png,1
001345.png,0
001346.png,0
001347.png,1
001348.png,1
001349.png,1
001350.png,1
001351.png,0
001352.png,1
001353.png,0
001354.png,0
001355.png,0
img_1.jpg,0
img_10.jpg,0
img_100.jpg,0
img_1000.jpg,0
img_1001.jpg,1
img_1002.jpg,0
img_1003.jpg,0
img_1004.jpg,0
img_1005.jpg,0
img_1006.jpg,1
img_1007.jpg,0
img_1008.jpg,0
img_1009.jpg,0
img_101.jpg,0
img_1010.jpg,0
img_1011.jpg,1
img_1012.jpg,0
img_1013.jpg,0
img_1014.jpg,0
img_1015.jpg,0
img_1016.jpg,0
img_1017.jpg,1
img_1018.jpg,0
img_1019.jpg,0
img_102.jpg,0
img_1020.jpg,0
img_1021.jpg,0
img_1022.jpg,0
img_1023.jpg,0
img_1024.jpg,0
img_1025.jpg,0
img_1026.jpg,0
img_1027.jpg,0
img_1028.jpg,1
img_1029.jpg,0
img_103.jpg,0
img_1030.jpg,0
img_1031.jpg,0
img_1032.jpg,0
img_1033.jpg,1
img_1034.jpg,1
img_1035.jpg,0
img_1036.jpg,0
img_1037.jpg,0
img_1038.jpg,0
img_1039.jpg,0
img_104.jpg,0
img_1040.jpg,0
img_1041.jpg,0
img_1042.jpg,0
img_1043.jpg,0
img_1044.jpg,0
img_1045.jpg,1
img_1046.jpg,0
img_1047.jpg,0
img_1048.jpg,0
img_1049.jpg,1
img_105.jpg,0
img_1050.jpg,0
img_1051.jpg,0
img_1052.jpg,0
img_1053.jpg,0
img_1054.jpg,0
img_1055.jpg,0
img_1056.jpg,0
img_1057.jpg,0
img_1058.jpg,0
img_1059.jpg,0
img_106.jpg,1
img_1060.jpg,1
img_1061.jpg,0
img_1062.jpg,0
img_1063.jpg,0
img_1064.jpg,0
img_1065.jpg,1
img_1066.jpg,0
img_1067.jpg,0
img_1068.jpg,0
img_1069.jpg,0
img_107.jpg,0
img_1070.jpg,0
img_1071.jpg,0
img_1072.jpg,0
img_1073.jpg,0
img_1074.jpg,0
img_1075.jpg,0
img_1076.jpg,0
img_1077.jpg,0
img_1078.jpg,0
img_1079.jpg,0
img_108.jpg,0
img_1080.jpg,0
img_1081.jpg,0
img_1082.jpg,0
img_1083.jpg,0
img_1084.jpg,0
img_1085.jpg,0
img_1086.jpg,1
img_1087.jpg,0
img_1088.jpg,0
img_1089.jpg,0
img_109.jpg,0
img_1090.jpg,0
img_1091.jpg,0
img_1092.jpg,0
img_1093.jpg,0
img_1094.jpg,0
img_1095.jpg,0
img_1096.jpg,0
img_1097.jpg,0
img_1098.jpg,0
img_1099.jpg,0
img_11.jpg,1
img_110.jpg,0
img_1100.jpg,0
img_1101.jpg,0
img_1102.jpg,0
img_1103.jpg,0
img_1104.jpg,0
img_1105.jpg,0
img_1106.jpg,0
img_1107.jpg,0
img_1108.jpg,1
img_1109.jpg,0
img_111.jpg,0
img_1110.jpg,0
img_1111.jpg,0
img_1112.jpg,0
img_1113.jpg,0
img_1114.jpg,0
img_1115.jpg,0
img_1116.jpg,0
img_1117.jpg,0
img_1118.jpg,1
img_1119.jpg,0
img_112.jpg,0
img_1120.jpg,0
img_1121.jpg,0
img_1122.jpg,0
img_1123.jpg,0
img_1124.jpg,0
img_1125.jpg,0
img_1126.jpg,0
img_1127.jpg,0
img_1128.jpg,0
img_1129.jpg,1
img_113.jpg,0
img_1130.jpg,0
img_1131.jpg,0
img_1132.jpg,0
img_1133.jpg,0
img_1134.jpg,0
img_1135.jpg,0
img_1136.jpg,0
img_1137.jpg,0
img_1138.jpg,0
img_1139.jpg,0
img_114.jpg,0
img_1140.jpg,0
img_1141.jpg,0
img_1142.jpg,0
img_1143.jpg,0
img_1144.jpg,0
img_1145.jpg,1
img_1146.jpg,0
img_1147.jpg,0
img_1148.jpg,0
img_1149.jpg,0
img_115.jpg,1
img_1150.jpg,0
img_1151.jpg,1
img_1152.jpg,0
img_1153.jpg,0
img_1154.jpg,0
img_1155.jpg,0
img_1156.jpg,0
img_1157.jpg,0
img_1158.jpg,0
img_1159.jpg,0
img_116.jpg,0
img_1160.jpg,0
img_1161.jpg,1
img_1162.jpg,0
img_1163.jpg,0
img_1164.jpg,0
img_1165.jpg,0
img_1166.jpg,0
img_1167.jpg,0
img_1168.jpg,0
img_1169.jpg,0
img_117.jpg,1
img_1170.jpg,0
img_1171.jpg,0
img_1172.jpg,1
img_1173.jpg,0
img_1174.jpg,0
img_1175.jpg,0
img_1176.jpg,0
img_1177.jpg,0
img_1178.jpg,0
img_1179.jpg,0
img_118.jpg,0
img_1180.jpg,0
img_1181.jpg,0
img_1182.jpg,0
img_1183.jpg,0
img_1184.jpg,0
img_1185.jpg,0
img_1186.jpg,0
img_1187.jpg,0
img_1188.jpg,1
img_1189.jpg,0
img_119.jpg,0
img_1190.jpg,0
img_1191.jpg,0
img_1192.jpg,0
img_1193.jpg,0
img_1194.jpg,1
img_1195.jpg,0
img_1196.jpg,0
img_1197.jpg,0
img_1198.jpg,0
img_1199.jpg,1
img_12.jpg,0
img_1200.jpg,0
img_1201.jpg,0
img_1202.jpg,0
img_1203.jpg,0
img_1204.jpg,0
img_1205.jpg,0
img_1206.jpg,0
img_1207.jpg,0
img_1208.jpg,0
img_1209.jpg,0
img_121.jpg,0
img_1210.jpg,1
img_1211.jpg,0
img_1212.jpg,0
img_1213.jpg,0
img_1214.jpg,0
img_1215.jpg,0
img_1216.jpg,0
img_1217.jpg,0
img_1218.jpg,0
img_1219.jpg,0
img_1220.jpg,0
img_1221.jpg,0
img_1222.jpg,0
img_1223.jpg,0
img_1224.jpg,0
img_1225.jpg,0
img_1226.jpg,0
img_1227.jpg,0
img_1228.jpg,0
img_1229.jpg,0
img_123.jpg,1
img_1230.jpg,0
img_1231.jpg,1
img_1232.jpg,0
img_1233.jpg,0
img_1234.jpg,0
img_1235.jpg,0
img_1236.jpg,0
img_1237.jpg,1
img_1238.jpg,0
img_1239.jpg,0
img_124.jpg,0
img_1240.jpg,0
img_1241.jpg,0
img_1242.jpg,1
img_1243.jpg,0
img_1244.jpg,0
img_1245.jpg,0
img_1246.jpg,0
img_1247.jpg,1
img_1248.jpg,0
img_1249.jpg,0
img_125.jpg,0
img_1250.jpg,0
img_1251.jpg,0
img_1252.jpg,0
img_1253.jpg,1
img_1254.jpg,0
img_1255.jpg,0
img_1256.jpg,0
img_1257.jpg,0
img_1258.jpg,0
img_1259.jpg,0
img_126.jpg,1
img_1260.jpg,0
img_1261.jpg,0
img_1262.jpg,0
img_1263.jpg,0
img_1264.jpg,0
img_1265.jpg,0
img_1266.jpg,0
img_1267.jpg,0
img_1268.jpg,0
img_1269.jpg,1
img_127.jpg,0
img_1270.jpg,0
img_1271.jpg,0
img_1272.jpg,0
img_1273.jpg,0
img_1274.jpg,1
img_1275.jpg,0
img_1276.jpg,0
img_1277.jpg,0
img_1278.jpg,0
img_1279.jpg,0
img_128.jpg,0
img_1280.jpg,1
img_1281.jpg,0
img_1282.jpg,0
img_1283.jpg,0
img_1284.jpg,0
img_1285.jpg,1
img_1286.jpg,0
img_1287.jpg,0
img_1288.jpg,0
img_1289.jpg,0
img_129.jpg,0
img_1290.jpg,0
img_1291.jpg,0
img_1292.jpg,0
img_1293.jpg,0
img_1294.jpg,0
img_1295.jpg,0
img_1296.jpg,1
img_1297.jpg,0
img_1298.jpg,0
img_1299.jpg,0
img_13.jpg,0
img_1300.jpg,0
img_1301.jpg,1
img_1302.jpg,0
img_1303.jpg,0
img_1304.jpg,0
img_1305.jpg,0
img_1306.jpg,1
img_1307.jpg,0
img_1308.jpg,0
img_1309.jpg,0
img_131.jpg,0
img_1310.jpg,0
img_1311.jpg,0
img_1312.jpg,1
img_1313.jpg,0
img_1314.jpg,0
img_1315.jpg,0
img_1316.jpg,0
img_1317.jpg,0
img_1318.jpg,0
img_1319.jpg,0
img_132.jpg,1
img_1320.jpg,0
img_1321.jpg,0
img_1322.jpg,1
img_1323.jpg,0
img_1324.jpg,0
img_1325.jpg,0
img_1326.jpg,0
img_1327.jpg,0
img_1328.jpg,1
img_1329.jpg,0
img_133.jpg,0
img_1330.jpg,0
img_1331.jpg,0
img_1332.jpg,0
img_1333.jpg,1
img_1334.jpg,0
img_1335.jpg,0
img_1336.jpg,0
img_1337.jpg,0
img_1338.jpg,0
img_1339.jpg,1
img_134.jpg,0
img_1340.jpg,0
img_1341.jpg,0
img_1342.jpg,0
img_1343.jpg,0
img_1344.jpg,1
img_1345.jpg,0
img_1346.jpg,0
img_1347.jpg,0
img_1348.jpg,0
img_1349.jpg,0
img_135.jpg,1
img_1350.jpg,0
img_1351.jpg,0
img_1352.jpg,0
img_1353.jpg,0
img_1354.jpg,0
img_1355.jpg,1
img_1356.jpg,0
img_1357.jpg,0
img_1358.jpg,0
img_1359.jpg,0
img_136.jpg,0
img_1360.jpg,0
img_1361.jpg,0
img_1362.jpg,0
img_1363.jpg,0
img_1364.jpg,0
img_1365.jpg,1
img_1366.jpg,0
img_1367.jpg,0
img_1368.jpg,0
img_1369.jpg,0
img_137.jpg,0
img_1370.jpg,0
img_1371.jpg,1
